dataset,method,HR@1,HR@3,HR@5,NDCG@3,NDCG@5,source_paper,source_table_or_section,notes,comparable_to_CAPERCA
Eadro-TT,TBAC,0.037,0.111,0.185,0.079,0.109,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-TT,NetMedic,0.094,0.257,0.425,0.195,0.209,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-TT,MonitorRank,0.086,0.199,0.331,0.142,0.196,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-TT,CloudRanger,0.101,0.306,0.509,0.218,0.301,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-TT,DyCause,0.231,0.615,0.808,0.448,0.607,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-TT,MS-RF-RCL,0.637,0.922,0.970,0.807,0.827,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-TT,MS-SVM-RCL,0.541,0.908,0.944,0.814,0.820,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only.",true
Eadro-TT,MS-LSTM,0.756,0.930,0.969,0.859,0.877,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only; Eadro paper treats MS-LSTM as end-to-end.",true
Eadro-TT,MS-DCC,0.767,0.938,0.972,0.870,0.882,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published root cause localization metric on TT. Protocol differs from CAPE-RCA because CAPE-RCA is evaluated with known fault cases/localization only; Eadro paper treats MS-DCC as end-to-end.",true
Eadro-TT,Eadro,0.990,0.992,0.993,0.994,0.994,"Eadro: An End-to-End Troubleshooting Framework for Microservices on Multi-source Data, ICSE 2023 / arXiv:2302.05092",Table III,"Published Eadro result on TT; end-to-end model uses predicted detector output, so not a fully identical protocol to CAPE-RCA localization-only evaluation.",true
