dataset,dataset_id,source_file,file_size_bytes,top_level_dataset,top_level_system,mode,total_cases,top1_hits,top1_accuracy,elapsed_sec,total_tokens,total_calls,ranking_cases,ranking_missing_cases,status_distribution,diagnostic_path_distribution,error_cases
RCAEval,RE1-OB,paper_artifacts/raw/RE1-OB_cape_rca_full.json,184821,RE3,RE1-OB,lightweight,125,90,0.72,33.423,0,0,125,0,"{""lightweight_ivd_shortcut"": 125}","{""shortcut"": 125}",[]
RCAEval,RE1-SS,paper_artifacts/raw/RE1-SS_cape_rca_full.json,182197,RCAEval,RE1-SS,lightweight-adaptive-budgeted-re1,125,80,0.64,51.709,0,0,125,0,"{""lightweight_ivd_shortcut"": 120, ""timeout_or_budget_exhausted"": 5}","{""shortcut"": 120, ""timeout"": 5}","[""RE1-SS/orders_delay/1"", ""RE1-SS/orders_delay/3"", ""RE1-SS/orders_loss/3"", ""RE1-SS/payment_cpu/3"", ""RE1-SS/payment_cpu/5""]"
RCAEval,RE1-TT,paper_artifacts/raw/RE1-TT_cape_rca_full.json,213148,RCAEval,RE1-TT,lightweight-adaptive-budgeted-re1,125,37,0.296,150.604,0,0,125,0,"{""lightweight_ivd_shortcut"": 103, ""timeout_or_budget_exhausted"": 22}","{""shortcut"": 103, ""timeout"": 22}","[""RE1-TT/ts-auth-service_cpu/5"", ""RE1-TT/ts-auth-service_delay/1"", ""RE1-TT/ts-auth-service_delay/3"", ""RE1-TT/ts-order-service_delay/2"", ""RE1-TT/ts-order-service_disk/3"", ""RE1-TT/ts-order-service_loss/3"", ""RE1-TT/ts-route-service_loss/1"", ""RE1-TT/ts-route-service_loss/2"", ""RE1-TT/ts-route-service_loss/3"", ""RE1-TT/ts-route-service_loss/4"", ""RE1-TT/ts-train-service_cpu/3"", ""RE1-TT/ts-train-service_cpu/4"", ""RE1-TT/ts-train-service_cpu/5"", ""RE1-TT/ts-train-service_delay/2"", ""RE1-TT/ts-train-service_delay/4"", ""RE1-TT/ts-train-service_disk/4"", ""RE1-TT/ts-train-service_loss/3"", ""RE1-TT/ts-travel-service_cpu/1"", ""RE1-TT/ts-travel-service_cpu/5"", ""RE1-TT/ts-travel-service_delay/4"", ""RE1-TT/ts-travel-service_disk/4"", ""RE1-TT/ts-travel-service_loss/2""]"
RCAEval,RE2-OB,results/prism_cht/v3_full/RE2-OB_v3.json,272003,RE3,RE2-OB,lightweight,91,81,0.8901098901098901,2142.257,303643,12,89,2,"{""continuous_final"": 2, ""lightweight_ivd_shortcut"": 89}","{""egcda"": 2, ""shortcut"": 89}",[]
RCAEval,RE2-SS,results/prism_cht/v3_full/RE2-SS_v3.json,391130,RE3,RE2-SS,lightweight,90,70,0.7777777777777778,1701.708,742128,29,85,5,"{"""": 1, ""continuous_final"": 4, ""lightweight_ivd_shortcut"": 85}","{""egcda"": 4, ""failed"": 1, ""shortcut"": 85}","[""RE2-SS/orders_socket/2""]"
RCAEval,RE2-TT,results/prism_cht/v3_full/RE2-TT_v3.json,42725,,,,90,53,0.5888888888888889,4856.579391956329,0,0,90,0,"{""lightweight_ivd_fallback"": 12, ""lightweight_ivd_shortcut"": 78}","{""egcda"": 12, ""shortcut"": 78}",[]
RCAEval,RE3-OB,results/prism_cht/v3_full/RE3-OB_v3.json,167848,RE3,RE3-OB,lightweight,30,29,0.9666666666666667,1005.434,301132,13,28,2,"{""continuous_final"": 2, ""lightweight_ivd_shortcut"": 28}","{""egcda"": 2, ""shortcut"": 28}",[]
RCAEval,RE3-SS,results/prism_cht/v3_full/RE3-SS_v3.json,407446,RE3,RE3-SS,lightweight,30,26,0.8666666666666667,2609.405,1083432,36,24,6,"{""continuous_final"": 6, ""lightweight_ivd_shortcut"": 24}","{""egcda"": 6, ""shortcut"": 24}",[]
RCAEval,RE3-TT,results/prism_cht/v3_full/RE3-TT_v3.json,120647,RE3,RE3-TT,lightweight,30,28,0.9333333333333333,805.88,203294,6,29,1,"{""continuous_final"": 1, ""lightweight_ivd_shortcut"": 29}","{""egcda"": 1, ""shortcut"": 29}",[]
Eadro,Eadro-TT,results/prism_cht/Eadro-TT_ambig_full.json,445534,Eadro,Eadro-TT,continuous-noise-native-event-causalizer,8,0,0.0,660.956,1089968,48,0,8,"{""continuous_final"": 8}","{""egcda"": 8}",[]
Eadro,Eadro-SN,results/prism_cht/Eadro-SN_ambig_full.json,460929,Eadro,Eadro-SN,continuous-noise-native-event-causalizer,8,1,0.125,633.753,1055756,48,0,8,"{""continuous_final"": 8}","{""egcda"": 8}",[]
