dataset,method,cpu_AC@1,mem_AC@1,disk_AC@1,socket_AC@1,delay_AC@1,loss_AC@1,f1_AC@1,f2_AC@1,f3_AC@1,f4_AC@1,f5_AC@1,average_AC@1,cpu_AC@3,mem_AC@3,disk_AC@3,socket_AC@3,delay_AC@3,loss_AC@3,f1_AC@3,f2_AC@3,f3_AC@3,f4_AC@3,f5_AC@3,average_AC@3,cpu_Avg@5,mem_Avg@5,disk_Avg@5,socket_Avg@5,delay_Avg@5,loss_Avg@5,f1_Avg@5,f2_Avg@5,f3_Avg@5,f4_Avg@5,f5_Avg@5,average_Avg@5,cases
RE2-OB,cape-rca,0.8750,0.8667,1.0000,0.9333,0.8000,0.7333,,,,,,0.8681,1.0000,0.9333,1.0000,1.0000,0.9333,0.9333,,,,,,0.9670,0.8958,0.9000,1.0000,0.9556,0.8556,0.8333,,,,,,0.9066,91
RE2-OB,baro,0.0000,0.4667,0.0667,0.0000,0.0000,0.4667,,,,,,0.1667,0.8000,1.0000,1.0000,0.8667,0.7333,0.8667,,,,,,0.8778,0.6667,0.8933,0.8000,0.7200,0.6800,0.8133,,,,,,0.7622,90
RE2-OB,circa,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,,,,,,0.2000,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,,,,,,0.2400,90
RE2-OB,pdiagnose,0.4000,0.2000,0.4000,0.1333,0.2000,0.2000,,,,,,0.2556,1.0000,1.0000,1.0000,1.0000,0.8000,0.8667,,,,,,0.9444,0.8400,0.8000,0.8400,0.7867,0.6800,0.7067,,,,,,0.7756,90
RE2-OB,rcd,0.8667,0.7333,0.8000,0.8667,0.3333,0.3333,,,,,,0.6556,0.9333,1.0000,0.9333,1.0000,0.5333,0.5333,,,,,,0.8222,0.9200,0.9333,0.9067,0.9600,0.4933,0.4800,,,,,,0.7822,90
RE2-SS,cape-rca,0.9333,1.0000,0.9333,0.6000,0.6000,1.0000,,,,,,0.8444,1.0000,1.0000,0.9333,1.0000,0.7333,1.0000,,,,,,0.9444,0.9667,1.0000,0.9467,0.8222,0.6689,1.0000,,,,,,0.9007,90
RE2-SS,baro,0.0000,0.2000,0.0000,0.0000,0.0000,0.2000,,,,,,0.0667,1.0000,1.0000,1.0000,0.9333,0.8000,1.0000,,,,,,0.9556,0.8000,0.8267,0.7867,0.7067,0.6533,0.8000,,,,,,0.7622,90
RE2-SS,circa,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,,,,,,0.2000,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,,,,,,0.4000,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,,,,,,0.4800,90
RE2-SS,pdiagnose,0.9333,0.9333,0.6000,0.8000,0.6000,0.5333,,,,,,0.7333,1.0000,1.0000,1.0000,1.0000,0.9333,1.0000,,,,,,0.9889,0.9867,0.9867,0.8933,0.9600,0.8400,0.8400,,,,,,0.9178,90
RE2-SS,rcd,0.7333,0.4667,0.6667,0.9333,0.4667,0.2000,,,,,,0.5778,1.0000,0.8000,0.9333,0.9333,0.6667,0.4667,,,,,,0.8000,0.9467,0.7333,0.8800,0.9333,0.6267,0.3867,,,,,,0.7511,90
RE2-TT,cape-rca,0.4667,1.0000,1.0000,0.7333,0.6000,0.4667,,,,,,0.7111,0.8667,1.0000,1.0000,0.9333,0.7333,0.6000,,,,,,0.8556,0.6833,1.0000,1.0000,0.8356,0.6689,0.5222,,,,,,0.7850,90
RE3-OB,cape-rca,,,,,,,0.8889,1.0000,1.0000,1.0000,1.0000,0.9667,,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,0.8704,1.0000,1.0000,1.0000,1.0000,0.9611,30
RE3-OB,baro,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,1.0000,1.0000,1.0000,1.0000,0.8333,0.9667,,,,,,,0.8000,0.8000,0.8000,0.8000,0.6667,0.7733,30
RE3-OB,circa,,,,,,,0.3333,0.3333,1.0000,0.8333,1.0000,0.7000,,,,,,,0.7778,0.3333,1.0000,0.8333,1.0000,0.8333,,,,,,,0.7111,0.4667,1.0000,0.8667,1.0000,0.8333,30
RE3-OB,pdiagnose,,,,,,,0.3333,1.0000,0.5000,0.3333,0.5000,0.4667,,,,,,,0.8889,1.0000,1.0000,0.5000,1.0000,0.8667,,,,,,,0.8000,1.0000,0.9000,0.5667,0.9000,0.8133,30
RE3-OB,rcd,,,,,,,0.5556,0.6667,0.8333,0.8333,1.0000,0.7667,,,,,,,0.5556,1.0000,1.0000,1.0000,1.0000,0.8667,,,,,,,0.5556,0.9333,0.9667,0.9667,1.0000,0.8467,30
RE3-SS,cape-rca,,,,,,,0.9000,0.6667,0.8000,0.8571,0.0000,0.8333,,,,,,,1.0000,1.0000,0.9000,1.0000,0.0000,0.9667,,,,,,,0.9500,0.8333,0.8750,0.9286,0.0000,0.9083,30
RE3-SS,baro,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,1.0000,1.0000,0.9000,0.8571,0.0000,0.9333,,,,,,,0.7800,0.8000,0.7400,0.6571,0.0000,0.7400,30
RE3-SS,circa,,,,,,,0.5000,0.3333,0.5000,0.5714,0.0000,0.5000,,,,,,,0.9000,1.0000,0.8000,0.5714,0.0000,0.8000,,,,,,,0.8000,0.8000,0.7600,0.7429,0.0000,0.7733,30
RE3-SS,pdiagnose,,,,,,,1.0000,0.6667,0.2000,0.0000,0.0000,0.4667,,,,,,,1.0000,1.0000,0.5000,0.2857,0.0000,0.6667,,,,,,,1.0000,0.9333,0.5200,0.4571,0.0000,0.7067,30
RE3-SS,rcd,,,,,,,0.1000,0.3333,0.0000,0.0000,0.0000,0.0667,,,,,,,0.3000,0.6667,0.1000,0.4286,0.0000,0.3000,,,,,,,0.3400,0.5333,0.0800,0.2857,0.0000,0.2600,30
RE3-TT,cape-rca,,,,,,,0.8571,0.8571,0.9000,1.0000,0.0000,0.9000,,,,,,,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,,,,,,,0.9286,0.9286,0.9500,1.0000,0.0000,0.9500,30
RE3-TT,baro,,,,,,,0.8571,1.0000,0.7143,0.6667,0.0000,0.8148,,,,,,,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,,,,,,,0.9714,1.0000,0.9143,0.9333,0.0000,0.9556,27
RE3-TT,circa,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
RE3-TT,pdiagnose,,,,,,,1.0000,1.0000,0.7143,1.0000,0.0000,0.9259,,,,,,,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,,,,,,,1.0000,1.0000,0.9429,1.0000,0.0000,0.9852,27
RE3-TT,rcd,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27
