dataset,suite_or_system,shortcut_cases,egcda_cases,failed_cases,timeout_cases,shortcut_ratio,egcda_ratio,failed_ratio,timeout_ratio
RCAEval,RE1-OB,125,0,0,0,1.000000,0.000000,0.000000,0.000000
RCAEval,RE1-SS,120,0,0,5,0.960000,0.000000,0.000000,0.040000
RCAEval,RE1-TT,103,0,0,22,0.824000,0.000000,0.000000,0.176000
RCAEval,RE2-OB,89,2,0,0,0.978022,0.021978,0.000000,0.000000
RCAEval,RE2-SS,85,4,1,0,0.944444,0.044444,0.011111,0.000000
RCAEval,RE2-TT,78,12,0,0,0.866667,0.133333,0.000000,0.000000
RCAEval,RE3-OB,28,2,0,0,0.933333,0.066667,0.000000,0.000000
RCAEval,RE3-SS,24,6,0,0,0.800000,0.200000,0.000000,0.000000
RCAEval,RE3-TT,29,1,0,0,0.966667,0.033333,0.000000,0.000000
Eadro,Eadro-TT,0,8,0,0,0.000000,1.000000,0.000000,0.000000
Eadro,Eadro-SN,0,8,0,0,0.000000,1.000000,0.000000,0.000000
