dataset,suite,system,fault_subset,method,AC@1,AC@3,Avg@5,source_paper,source_table_or_section,notes,comparable_to_CAPERCA
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",Metric BARO,0.67,0.82,0.80,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",CausalRCA,0.22,0.47,0.43,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",Metric CIRCA,0.32,0.47,0.46,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",MicroCause,0.10,0.22,0.20,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",Metric RCD,0.09,0.13,0.13,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",MicroRank,0.16,0.37,0.31,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published trace-based coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",TraceRCA,0.66,0.79,0.77,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published trace-based coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",Multi-source BARO,0.69,0.82,0.81,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published multi-source coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",Multi-source CIRCA,0.06,0.11,0.13,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published multi-source coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",PDiagnose,0.48,0.70,0.67,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published multi-source coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
RE2-TT,RE2,Train Ticket,"CPU; MEM; DISK; SOCKET; DELAY; LOSS",Multi-source RCD,0.10,0.64,0.54,"RCAEval: A Benchmark for Root Cause Analysis of Microservice Systems with Telemetry Data, WWW Companion 2025 / arXiv:2412.17015v5",Table 6,"Official published multi-source coarse-grained service-level RCA result on RE2 Train Ticket average across six fault types.",true
