system,query_id,fold_key,query_index,task_index,telemetry_date,ground_truth,object_id,base_rank,base_score,label,rank_recip,rank_log,anomaly_score,metric_score,log_score,trace_score,change_score,degree_in,degree_out,degree_total,is_isolated,member_count,member_log,incoming_mass,topological_mass,has_earliest,earliest_offset,noise_local_noise,noise_resonance_mass,noise_source_signal,noise_reverb_mass,noise_unexplained_residual,noise_collapse_gain,noise_collapse_recovery_score,noise_exclusive_explanation,noise_temporal_source_score,noise_multi_lead_consistency,noise_hotspot_bias,noise_root_source_score,structure_upstream_context,structure_downstream_context,structure_temporal_lead,structure_mechanism_focus,structure_propagation_signature,structure_source_likelihood,structure_symptom_likelihood,structure_structural_uniqueness,structure_propagation_role_score,structure_hard_negative_resistance,structure_multi_view_consistency,structure_topological_eccentricity,structure_structural_score,delay_source_time_consistency,delay_average_delay_gain,delay_observer_coverage,delay_reverse_penalty,beam_beamformed_explanation,beam_directional_focus,beam_offbeam_penalty,beam_mechanism_coherence,subspace_local_residual_source_energy,subspace_sector_source_ratio,subspace_sector_reverb_ratio,subspace_residual_distinctiveness,subspace_local_common_mode_alignment,subspace_replaceability,subspace_sector_size,mask_gated_reverb_penalty,mask_source_protection,mask_replaceability_penalty,mask_local_hub_pressure,reason_cpu,reason_memory,reason_disk,reason_db,reason_network,reason_process,prefix_tomcat,prefix_mg,prefix_ig,prefix_apache,prefix_mysql,prefix_redis,prefix_servicetest,prefix_node,prefix_adservice,prefix_frontend,prefix_checkoutservice,prefix_shippingservice,prefix_paymentservice,prefix_recommendationservice,prefix_emailservice,prefix_currencyservice,prefix_productcatalogservice,prefix_cartservice
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,mysql02,1,0.727089,1,1.0,0.6931471805599453,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.6931471805599453,0.0,1.013131708419666,1.0,0.0,0.90566,0.349585,0.286414,0.261022,0.738978,0.416006,1.0,0.051812,1.0,1.0,0.157353,0.754927,0.0,0.354429,1.0,0.408246,0.607718,1.0,0.0,0.574351,0.729576,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.408754,0.487413,0.5,0.620427,0.0,0.0,1.0,0.474037,1.0,0.0,0.5,0.134377,0.750423,0.45,0.059386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,redis02,2,0.675511,0,0.5,1.0986122886681096,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.6931471805599453,0.0,1.086776190801498,1.0,0.0,0.90566,0.374996,0.079475,0.797994,0.202006,0.863127,0.749999,0.0,1.0,1.0,0.156598,0.738769,0.0,0.570288,1.0,0.098792,0.749253,0.896472,0.094251,0.533563,0.822342,0.398811,0.689397,1.0,0.816426,1.0,0.0,0.833333,0.0,0.920007,1.0,0.5,0.678218,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.076098,0.869429,0.45,0.016451,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,tomcat01,3,0.654282,0,0.3333333333333333,1.3862943611198906,1.0,1.0,0.37735849056603776,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.6931471805599453,0.0,1.086776190801498,1.0,-0.06583333333333333,1.0,0.328734,0.306799,0.206489,0.793511,0.878339,0.749999,0.0,1.0,1.0,0.338416,0.904834,0.0,0.570288,1.0,0.057622,0.749253,0.874781,0.094251,0.533563,0.822342,0.398811,0.623702,1.0,0.799774,0.753266,1.0,0.833333,0.0,0.824048,0.843974,0.5,0.671602,0.0,0.0,1.0,0.898023,1.0,1.0,1.0,0.436952,1.0,1.0,0.352658,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,tomcat02,4,0.600342,0,0.25,1.6094379124341003,1.0,1.0,0.37735849056603776,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.6931471805599453,0.0,1.9056603773584906,1.0,-0.06972222222222223,1.0,0.611178,0.312722,0.190566,0.809434,0.641338,1.0,0.95713,1.0,1.0,0.460472,1.0,0.0,1.0,1.0,0.074671,1.0,0.983853,0.281876,0.564407,1.0,0.853506,0.841056,1.0,0.738596,0.853313,0.595152,0.333333,0.0,0.855197,0.673442,0.5,1.0,0.0,0.0,1.0,0.823025,1.0,0.999078,0.333333,0.608784,0.812757,0.999493,0.488489,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,mysql01,5,0.355122,0,0.2,1.791759469228055,0.9056603773584906,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.6931471805599453,2.716981132075472,0.08783327319002825,1.0,0.0,0.90566,0.030307,0.901636,0.067888,0.932112,0.182478,1.0,0.0,1.0,0.107737,0.017943,0.617921,0.75,0.092181,1.0,0.30822,0.472352,0.771957,0.481214,0.956985,0.329706,0.735488,0.744977,0.75,0.616931,1.0,0.0,0.166667,0.0,0.222722,0.534965,0.5,0.6875,0.0,0.0,1.0,0.257694,1.0,0.0,0.166667,0.55965,0.503417,0.45,0.632344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,ig02,6,0.346037,0,0.16666666666666666,1.9459101490553132,0.9056603773584906,1.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,0.6931471805599453,1.086776190801498,2.8048144052655,1.0,0.0,0.90566,0.967812,0.448953,0.541972,0.458028,0.828125,1.0,0.0,1.0,0.075416,0.344567,0.941125,0.299996,0.735917,1.0,0.103745,0.823709,0.840463,0.742649,0.074355,0.590361,1.0,0.756172,0.857143,0.312398,1.0,0.0,0.666667,0.0,1.0,0.526049,0.5,0.736229,0.0,0.0,1.0,0.070521,1.0,0.0,0.666667,0.343191,0.833304,0.45,0.514598,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,servicetest5,7,0.336815,0,0.14285714285714285,2.0794415416798357,0.08783327319002825,0.14638878865004706,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.6931471805599453,3.6226415094339623,0.0,1.0,0.0,0.087833,0.0,1.0,0.0,1.0,0.051593,0.0,0.885597,1.0,0.113124,0.0,0.430865,1.0,0.0,1.0,0.230961,0.076515,0.590163,0.447511,1.0,0.21426,0.735488,0.300098,0.714286,0.508047,0.0,0.0,0.0,0.0,0.018907,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.234948,0.020422,0.0,0.318536,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,mg01,8,0.315338,0,0.125,2.1972245773362196,0.9056603773584906,1.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.6931471805599453,1.9924365681599885,1.8991540279070094,1.0,0.0,0.90566,0.655311,0.565934,0.489296,0.510704,0.60495,1.0,0.0,1.0,0.090499,0.265883,0.79403,0.549996,0.664391,1.0,0.137181,0.78467,0.832235,0.717965,0.770128,0.561399,0.962764,0.779023,0.821429,0.476428,1.0,0.0,0.5,0.0,0.673049,0.463637,0.5,0.600962,0.0,0.0,1.0,0.213639,1.0,0.0,0.5,0.426815,0.745044,0.45,0.597753,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,apache01,9,0.288087,0,0.1111111111111111,2.302585092994046,0.9056603773584906,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.6931471805599453,3.013131708419666,0.0,1.0,0.0,0.90566,0.0,1.0,0.0,1.0,0.164549,0.0,1.0,0.2,0.030657,0.0,0.650129,0.83175,0.0,0.2,0.335064,0.522682,0.488947,0.574511,0.979693,0.0,0.735488,0.712038,0.821429,0.408602,0.0,0.0,0.0,0.796567,0.194952,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.368898,0.065134,0.0,0.516457,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,Bank:0:task_1:Mysql02:2021-03-04 14:57:00,Bank:Mysql02:2021-03-04 14:57:00,0,task_1,2021_03_04,Mysql02,redis01,10,0.246071,0,0.1,2.3978952727983707,0.9056603773584906,1.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,1.0,0.6931471805599453,2.8980969455184793,0.9934936505485188,1.0,0.0,0.90566,0.342809,0.720037,0.383944,0.616056,0.382814,1.0,0.0,1.0,0.100555,0.156598,0.670288,0.799996,0.521338,1.0,0.0,0.70659,0.718316,0.662051,0.966453,0.503476,0.735488,0.500158,0.785714,0.490817,1.0,0.0,0.333333,0.0,0.39514,0.392308,0.5,0.4375,0.0,0.0,1.0,0.073614,1.0,0.0,0.333333,0.544335,0.570025,0.45,0.659701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
