system,query_id,fold_key,query_index,task_index,telemetry_date,ground_truth,object_id,base_rank,base_score,label,rank_recip,rank_log,anomaly_score,metric_score,log_score,trace_score,change_score,degree_in,degree_out,degree_total,is_isolated,member_count,member_log,incoming_mass,topological_mass,has_earliest,earliest_offset,noise_local_noise,noise_resonance_mass,noise_source_signal,noise_reverb_mass,noise_unexplained_residual,noise_collapse_gain,noise_collapse_recovery_score,noise_exclusive_explanation,noise_temporal_source_score,noise_multi_lead_consistency,noise_hotspot_bias,noise_root_source_score,structure_upstream_context,structure_downstream_context,structure_temporal_lead,structure_mechanism_focus,structure_propagation_signature,structure_source_likelihood,structure_symptom_likelihood,structure_structural_uniqueness,structure_propagation_role_score,structure_hard_negative_resistance,structure_multi_view_consistency,structure_topological_eccentricity,structure_structural_score,delay_source_time_consistency,delay_average_delay_gain,delay_observer_coverage,delay_reverse_penalty,beam_beamformed_explanation,beam_directional_focus,beam_offbeam_penalty,beam_mechanism_coherence,subspace_local_residual_source_energy,subspace_sector_source_ratio,subspace_sector_reverb_ratio,subspace_residual_distinctiveness,subspace_local_common_mode_alignment,subspace_replaceability,subspace_sector_size,mask_gated_reverb_penalty,mask_source_protection,mask_replaceability_penalty,mask_local_hub_pressure,reason_cpu,reason_memory,reason_disk,reason_db,reason_network,reason_process,prefix_tomcat,prefix_mg,prefix_ig,prefix_apache,prefix_mysql,prefix_redis,prefix_servicetest,prefix_node,prefix_adservice,prefix_frontend,prefix_checkoutservice,prefix_shippingservice,prefix_paymentservice,prefix_recommendationservice,prefix_emailservice,prefix_currencyservice,prefix_productcatalogservice,prefix_cartservice,ltr_score,fold,base_z,ltr_z,blend_a0p25,blend_a0p5,blend_a0p75,blend_a1,blend_a1p5
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,tomcat02,1,0.684805,0,1.0,0.6931471805599453,1.0,1.0,0.3773584905660377,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.6931471805599453,0.0,2.248503640106686,1.0,-0.0613888888888888,1.0,0.554296,0.323336,0.16194,0.83806,0.602645,0.892258,1.0,1.0,1.0,0.507988,0.928877,0.0,0.449701,1.0,0.105762,0.658936,0.826663,0.0,0.86272,1.0,0.0,0.487292,1.0,1.0,0.768939,1.0,0.6,0.0,0.497742,0.213084,0.0,0.755726,0.0,0.0,1.0,0.783647,1.0,0.998866,1.0,0.426325,0.785631,0.999376,0.409687,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5917104,1,2.1133063029535464,3.223692,2.9192292880304507,3.725152273107355,4.531075258184259,5.336998243261164,6.948844213414972
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,ig01,2,0.64084,0,0.5,1.0986122886681096,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.6931471805599453,0.0,3.072064684169062,1.0,0.0,0.90566,0.600913,0.103835,0.735849,0.264151,1.0,0.813635,0.925263,0.8,0.624914,0.386338,0.932206,0.0,0.614413,0.8,0.647443,0.748387,0.846365,0.126614,0.834287,0.895731,0.511528,0.773387,1.0,0.923056,0.889197,0.0,1.0,0.0,1.0,0.385188,0.8,0.901223,0.0,0.0,1.0,0.187431,1.0,0.0,1.0,0.18579,0.947429,0.45,0.338859,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8526713,1,1.9258783144804437,0.5811468,2.071165008649488,2.2164517028185324,2.361738411888738,2.5070250911566214,2.797598509297033
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,tomcat04,3,0.517473,0,0.3333333333333333,1.3862943611198906,1.0,1.0,0.3773584905660377,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6931471805599453,1.0,0.0,1.0,-0.0697222222222222,1.0,0.0,0.706541,0.0,1.0,0.128266,0.0,1.0,1.0,0.087165,0.222222,0.509329,0.256751,0.0,1.0,0.0,0.493482,0.654304,0.303702,0.685379,0.442303,0.664957,0.367462,0.928571,0.682128,0.450891,0.0,0.0,0.0,0.112467,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.135817,0.284052,0.0,0.29817,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1317812,1,1.3999502204519831,1.1342168,1.6835044168097102,1.9670586131674372,2.2506128095251645,2.5341670058828916,3.1012753985983457
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,tomcat03,4,0.464044,0,0.25,1.6094379124341005,1.0,1.0,0.3773584905660377,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.6931471805599453,1.8113207547169807,1.1664043068105714,1.0,-0.0333333333333333,1.0,0.290242,0.752411,0.161732,0.838268,0.687523,0.737508,0.0,1.0,0.12276,0.414542,0.78345,0.465058,0.388801,1.0,0.05937,0.61789,0.729391,0.455306,0.355842,0.614717,0.664957,0.448131,0.928571,0.618706,0.929173,0.84041,0.8,0.0,0.837423,0.538715,0.0,0.842763,0.0,0.0,1.0,0.842487,1.0,1.0,1.0,0.465821,1.0,1.0,0.744474,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22372608,1,1.1721760820207445,1.8308808,1.6298962723073809,2.087616462594017,2.5453366826829757,3.0030568431672897,3.918497283345207
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,mg02,5,0.392662,0,0.2,1.791759469228055,0.9056603773584906,1.0,0.0,0.0,0.0,3.0,5.0,8.0,0.0,1.0,0.6931471805599453,1.1664043068105714,3.3222148286539137,1.0,0.0,0.90566,0.883672,0.472245,0.583038,0.416962,0.786107,0.904397,0.0,1.0,0.031142,0.48691,0.902897,0.299475,0.664443,1.0,0.43214,0.801027,0.860785,0.585068,0.0,0.764048,0.977454,0.705207,0.785714,0.573136,1.0,0.0,0.9,0.0,0.847197,0.361875,0.0,0.805491,0.0,0.0,1.0,0.152386,1.0,0.0,1.0,0.240762,0.89085,0.45,0.457779,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3779602,1,0.8678661838474925,-0.5890617,0.720600764483517,0.5733353451195414,0.4260699406567271,0.2788045063915904,-0.015726302534038283
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,apache01,6,0.388181,0,0.1666666666666666,1.9459101490553128,0.8882968885832869,1.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,1.0,0.6931471805599453,3.776918701587989,0.7290639226516995,1.0,0.0,0.888297,0.193923,0.093452,0.928707,0.071293,0.344804,0.779033,0.0,1.0,0.043599,0.183771,0.363853,0.969726,0.729064,1.0,1.0,0.888268,1.0,0.632547,0.992443,0.811703,0.765531,1.0,0.642857,0.790256,1.0,0.0,0.5,0.0,0.428882,1.0,0.0,0.757446,0.0,0.0,1.0,0.447756,1.0,0.0,0.833333,0.32204,0.691096,0.45,0.536531,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.258215,1,0.8487631515184131,0.27001187,0.9162661195316997,0.9837690875449863,1.0512720481076923,1.1187750235715594,1.2537809446969714
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,mg01,7,0.376356,0,0.1428571428571428,2.079441541679836,0.9056603773584906,1.0,0.0,0.0,0.0,3.0,7.0,10.0,0.0,1.0,0.6931471805599453,2.811320754716981,3.759555212812786,1.0,0.0,0.90566,1.0,0.608788,0.444098,0.555902,0.789364,0.943151,0.0,0.9,0.0,0.406452,1.0,0.721809,0.537079,0.9,0.204122,0.710076,0.716055,0.549888,0.817176,0.599341,1.0,0.559066,0.892857,0.603394,1.0,0.0,0.8,0.403904,0.954764,0.268546,0.054225,0.8482,0.0,0.0,1.0,0.073754,1.0,0.0,1.0,0.30152,0.83882,0.45,0.588864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.713892,1,0.7983517796613806,-0.07958557,0.7784553878821963,0.7585589961030119,0.7386626043238276,0.7187662125446432,0.6789734289862746
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,redis02,8,0.341069,1,0.125,2.19722457733622,0.9056603773584906,1.0,0.0,0.0,0.0,5.0,3.0,8.0,0.0,1.0,0.6931471805599453,2.7763637216100063,1.7122554138544783,1.0,0.0,0.90566,0.455441,0.546453,0.556942,0.443058,0.513372,0.852411,0.0,1.0,0.038927,0.324968,0.653785,0.712833,0.570752,1.0,0.203452,0.742866,0.757986,0.559676,0.804378,0.714457,0.912255,0.570674,0.714286,0.62818,1.0,0.0,0.7,0.0,0.610955,0.492185,0.0,0.771311,0.0,0.0,1.0,0.171952,1.0,0.0,1.0,0.311354,0.727597,0.45,0.534148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3081532,1,0.6479191302982421,-0.53550535,0.5140427916971297,0.3801664530960174,0.24629009959374382,0.11241377589379264,-0.15533893111075447
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,ig02,9,0.331588,0,0.1111111111111111,2.302585092994046,0.7290639226516995,1.0,0.0,0.0,0.0,5.0,4.0,9.0,0.0,1.0,0.6931471805599453,3.498811283360705,1.2485036401066856,1.0,0.0,0.729064,0.332088,0.79382,0.299683,0.700317,0.279292,1.0,0.348769,1.0,0.045297,0.189567,0.602114,0.898322,0.312126,1.0,0.246508,0.57367,0.670997,0.475542,0.978731,0.575097,0.664957,0.508534,0.607143,0.662771,1.0,0.0,0.4,0.0,0.294348,0.203689,0.0,0.649764,0.0,0.0,1.0,0.055324,1.0,0.0,0.666667,0.377084,0.508398,0.45,0.550911,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.268548,1,0.6075005073319396,-0.50512016,0.4812204677830657,0.3549404282341918,0.2286603886853179,0.102380349136444,-0.1501797299613038
Bank,Bank:1:task_6:Redis02:2021-03-04 18:09:00,Bank:Redis02:2021-03-04 18:09:00,1,task_6,2021_03_04,Redis02,servicetest5,10,0.318967,0,0.1,2.3978952727983707,0.1410210310619817,0.2350350517699695,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.6931471805599453,2.836546531696404,0.0,1.0,0.0,0.141021,0.0,1.0,0.0,1.0,0.040332,0.0,0.173704,0.8,0.038058,0.0,0.313765,0.728285,0.0,0.8,0.487579,0.115986,0.354931,0.444076,0.90936,0.146758,0.664957,0.347843,0.428571,0.496523,0.450891,0.0,0.0,0.4,0.01586,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.158244,0.247323,0.0,0.333853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3680732,1,0.5536956934454611,-0.58147633,0.4083266107561758,0.26295752806689054,0.11758844537760527,-0.027780637311680012,-0.31851880269025057
