system,query_id,fold_key,query_index,task_index,telemetry_date,ground_truth,object_id,base_rank,base_score,label,rank_recip,rank_log,anomaly_score,metric_score,log_score,trace_score,change_score,degree_in,degree_out,degree_total,is_isolated,member_count,member_log,incoming_mass,topological_mass,has_earliest,earliest_offset,noise_local_noise,noise_resonance_mass,noise_source_signal,noise_reverb_mass,noise_unexplained_residual,noise_collapse_gain,noise_collapse_recovery_score,noise_exclusive_explanation,noise_temporal_source_score,noise_multi_lead_consistency,noise_hotspot_bias,noise_root_source_score,structure_upstream_context,structure_downstream_context,structure_temporal_lead,structure_mechanism_focus,structure_propagation_signature,structure_source_likelihood,structure_symptom_likelihood,structure_structural_uniqueness,structure_propagation_role_score,structure_hard_negative_resistance,structure_multi_view_consistency,structure_topological_eccentricity,structure_structural_score,delay_source_time_consistency,delay_average_delay_gain,delay_observer_coverage,delay_reverse_penalty,beam_beamformed_explanation,beam_directional_focus,beam_offbeam_penalty,beam_mechanism_coherence,subspace_local_residual_source_energy,subspace_sector_source_ratio,subspace_sector_reverb_ratio,subspace_residual_distinctiveness,subspace_local_common_mode_alignment,subspace_replaceability,subspace_sector_size,mask_gated_reverb_penalty,mask_source_protection,mask_replaceability_penalty,mask_local_hub_pressure,reason_cpu,reason_memory,reason_disk,reason_db,reason_network,reason_process,prefix_tomcat,prefix_mg,prefix_ig,prefix_apache,prefix_mysql,prefix_redis,prefix_servicetest,prefix_node,prefix_adservice,prefix_frontend,prefix_checkoutservice,prefix_shippingservice,prefix_paymentservice,prefix_recommendationservice,prefix_emailservice,prefix_currencyservice,prefix_productcatalogservice,prefix_cartservice,ltr_score,fold,base_z,ltr_z,blend_a0p25,blend_a0p5,blend_a0p75,blend_a1,blend_a1p5
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,apache01,1,0.559873,0,1.0,0.6931471805599453,0.9056603773584906,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.6931471805599453,0.0,2.716981132075472,1.0,0.0,0.90566,0.540471,0.0,1.0,0.0,0.733188,0.8,0.925263,1.0,1.0,0.477699,0.675718,0.0,0.957265,1.0,0.076012,0.948849,0.889746,0.299903,0.783957,1.0,0.872558,0.569358,1.0,0.865027,1.0,0.0,0.875,0.0,0.847855,0.596778,0.0,0.8125,0.0,0.0,1.0,0.188234,1.0,0.0,1.0,0.159598,0.889711,0.45,0.18343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4732837,1,2.4624969613852103,2.1683505,3.0045845759214957,3.546672190457781,4.088759864598711,4.630847419530352,5.715022767812212
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,mg02,2,0.541225,0,0.5,1.0986122886681096,0.9056603773584906,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6931471805599453,0.0134845804760064,0.0,1.0,0.0,0.90566,0.0,0.856503,0.0,1.0,0.095689,0.0,0.015332,1.0,0.077856,0.037028,0.326778,0.001791,0.0,1.0,0.071118,0.527138,0.590438,0.0,0.912792,0.581228,0.0,0.329136,0.5,1.0,0.0,0.0,0.0,0.0,0.084542,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.068589,0.037995,0.0,0.100655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2859453,1,2.376682440361377,1.1398621,2.6616479554980956,2.9466134706348144,3.231578985771533,3.516544500908252,4.086475531181689
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,apache02,3,0.348033,1,0.3333333333333333,1.3862943611198906,0.9056603773584906,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.6931471805599453,0.9056603773584906,1.8113207547169807,1.0,0.0,0.90566,0.360314,0.0,1.0,0.0,0.615255,0.766667,0.0,1.0,0.129273,0.364994,0.468697,0.120301,0.957265,1.0,0.162165,0.948849,0.881592,0.778841,0.143266,0.69393,0.831816,0.681206,0.964286,0.495475,1.0,0.0,0.75,0.0,0.937246,1.0,0.0,1.0,0.0,0.0,1.0,0.195547,1.0,0.0,1.0,0.289731,0.812053,0.45,0.38986,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8805826,1,1.4876498928690771,0.3343374,1.5712342461968283,1.6548185995245794,1.7384029379511694,1.8219873061800818,1.9891559830332617
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,ig01,4,0.320974,0,0.25,1.6094379124341005,0.9056603773584906,1.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,1.0,0.6931471805599453,1.8113207547169807,4.528301886792453,1.0,0.0,0.90566,0.900786,0.305201,0.7504,0.2496,0.721422,0.941667,0.0,1.0,0.129273,0.602756,0.760999,0.240602,0.957265,1.0,0.426603,0.948849,1.0,0.834297,0.0,0.662047,0.990531,1.0,0.928571,0.526461,1.0,0.0,0.75,0.0,0.914808,0.411549,0.0,0.969295,0.0,0.0,1.0,0.07051,1.0,0.0,1.0,0.37156,0.815593,0.45,0.551383,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2776567,1,1.3631295623036594,-0.20355852,1.3122399324330063,1.2613503025623531,1.2104606689664097,1.1595710428210468,1.05779177562916
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,mysql01,5,0.27746,0,0.2,1.791759469228055,0.9056603773584906,1.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,1.0,0.6931471805599453,2.716981132075472,3.6226415094339615,1.0,0.0,0.90566,0.720629,0.335521,0.763,0.237,0.603757,0.93,0.0,1.0,0.129273,0.55407,0.647738,0.360902,0.957265,1.0,0.278541,0.948849,0.917159,0.840511,0.716478,0.662047,0.974281,0.827769,0.892857,0.561543,1.0,0.0,0.625,0.0,0.773024,0.431299,0.0,0.963376,0.0,0.0,1.0,0.170876,1.0,0.0,1.0,0.415947,0.766779,0.45,0.597561,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17142396,1,1.1628864762981317,1.2949982,1.4866360185344598,1.810385560770788,2.1341351030071163,2.4578846452434444,3.1053837297161007
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,tomcat02,6,0.277438,0,0.1666666666666666,1.9459101490553128,1.0,1.0,0.3773584905660377,0.0,0.0,1.0,6.0,7.0,0.0,1.0,0.6931471805599453,1.0,5.622641509433962,1.0,-0.0811111111111111,1.0,1.0,0.713109,0.198289,0.801711,0.870058,0.951445,0.0,1.0,0.170818,0.846747,0.971946,0.132832,0.990503,1.0,0.105596,0.988633,0.86166,0.841761,0.022695,0.682877,1.0,0.630008,0.964286,0.3815,0.772761,0.774748,0.875,0.0,1.0,0.36123,0.0,0.977183,0.0,0.0,1.0,0.823856,1.0,0.999045,1.0,0.640045,1.0,0.999475,0.813252,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.350351,1,1.162785236515714,1.0526149,1.4259389683386816,1.6890927001616491,1.9522464319846167,2.215400163807584,2.7417076274535193
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,tomcat01,7,0.232945,0,0.1428571428571428,2.079441541679836,1.0,1.0,0.3773584905660377,0.0,0.0,0.0,7.0,7.0,0.0,1.0,0.6931471805599453,0.0,6.622641509433962,1.0,-0.0566666666666666,1.0,0.917534,0.270905,0.427105,0.572895,1.0,0.957895,1.0,0.428571,0.502442,0.864928,1.0,0.0,1.0,0.428571,0.136155,1.0,0.721832,0.416912,0.763804,0.769293,0.962489,0.663806,1.0,0.651455,0.399877,0.493299,1.0,0.0,0.87845,0.271739,1.0,0.97426,0.0,0.0,1.0,0.788505,1.0,0.997552,1.0,0.757857,0.843451,0.998654,0.854882,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07718668,1,0.9580369801926009,1.4226565,1.3137011142181745,1.6693652482437482,2.025029382269322,2.3806935162948957,3.092021784346043
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,redis02,8,0.129395,0,0.125,2.19722457733622,0.9056603773584906,1.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,1.0,0.6931471805599453,4.622641509433962,0.0134845804760064,1.0,0.0,0.90566,0.002682,0.999094,0.262422,0.737578,0.149307,0.655135,0.714177,0.666667,0.023871,0.058146,0.372762,0.614035,0.014253,0.666667,0.071255,0.407793,0.402705,0.566361,0.995219,0.071583,0.784798,0.252132,0.571429,0.354454,1.0,0.0,0.25,0.387634,0.152181,0.33837,0.0,0.695946,0.0,0.0,1.0,0.051297,1.0,0.0,0.333333,0.59514,0.450135,0.45,0.671028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72787595,1,0.4815197315858901,0.54120123,0.6168200400518478,0.7521203485178054,0.887420656983763,1.0227209654497207,1.293321582381636
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,tomcat04,9,0.106393,0,0.1111111111111111,2.302585092994046,1.0,1.0,0.3773584905660377,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.6931471805599453,3.0,0.9056603773584906,1.0,-0.08,1.0,0.15352,1.0,0.182103,0.817897,0.198712,0.994865,0.0,0.5,0.15452,0.427988,0.429308,0.398496,0.957265,0.5,0.185101,0.948849,0.682385,0.927505,0.817581,0.436745,0.851011,0.708104,0.892857,0.360643,0.704288,1.0,0.25,0.011573,0.253417,0.495607,0.0,0.861199,0.0,0.0,1.0,0.90783,1.0,1.0,0.5,1.0,0.551626,1.0,0.951753,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49752945,1,0.37566893725994543,0.85323983,0.5889788958371015,0.8022888544142576,1.0155988278925747,1.2289087715685696,1.6555287185252041
Bank,Bank:13:task_4:apache02:2021-03-07 18:59:00,Bank:apache02:2021-03-07 18:59:00,13,task_4,2021_03_07,apache02,servicetest10,10,0.04423,0,0.1,2.3978952727983707,0.0134845804760064,0.0224743007933441,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.6931471805599453,0.9056603773584906,0.9056603773584906,1.0,0.0,0.013485,0.180157,0.0,1.0,0.0,0.123033,1.0,0.355399,1.0,0.014289,0.0,0.124391,0.120301,0.957265,1.0,0.243654,0.562381,0.695216,0.853407,0.143266,0.594822,0.775961,0.533067,0.535714,0.30551,1.0,0.0,0.125,0.0,0.07924,0.182903,0.0,0.4375,0.0,0.0,1.0,0.149173,1.0,0.0,0.166667,0.474453,0.436841,0.45,0.467473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8482114,1,0.08960672842229253,-0.97645974,-0.15450820697580928,-0.39862314237391105,-0.6427380777720129,-0.8868530131701147,-1.3750828839663183
