case_id,task,split,gt_service,gt_type,pred_top1_service,pred_type,ranked_services_json,rank_of_gt,ranking_source,ranking_len,service_top1_accuracy,service_HR@3,service_HR@5,service_NDCG@3,service_NDCG@5,anomaly_type_accuracy,service_type_tuple_accuracy
aiops21_000,aiops2021_service_and_anomaly_type,train,apache01,memory,apache01,cpu,"[""apache01"", ""MG01"", ""apache02"", ""MG02"", ""Redis02"", ""Tomcat04"", ""IG01""]",1.0,all_decisions,7,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_001,aiops2021_service_and_anomaly_type,train,MG01,memory,Mysql02,network_packet_loss,"[""Mysql02"", ""MG02"", ""apache01"", ""Tomcat02"", ""IG01"", ""Tomcat01""]",,all_decisions,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aiops21_002,aiops2021_service_and_anomaly_type,train,Mysql02,memory,Mysql02,cpu,"[""Mysql02"", ""Tomcat01"", ""apache01"", ""MG01"", ""Tomcat04"", ""IG02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_003,aiops2021_service_and_anomaly_type,train,Redis02,memory,Redis02,memory,"[""Redis02"", ""Tomcat04"", ""Tomcat03"", ""IG01"", ""apache02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_004,aiops2021_service_and_anomaly_type,train,Tomcat01,memory,Tomcat01,memory,"[""Tomcat01"", ""MG02"", ""apache02"", ""MG01""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_005,aiops2021_service_and_anomaly_type,train,Mysql01,network_packet_loss,Mysql01,disk_io,"[""Mysql01"", ""Tomcat02"", ""Redis02"", ""Tomcat01"", ""Tomcat04"", ""Tomcat03""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_006,aiops2021_service_and_anomaly_type,train,Tomcat02,network_latency,Tomcat03,network_latency,"[""Tomcat03"", ""Tomcat02"", ""MG02"", ""Tomcat04"", ""MG01"", ""apache02""]",2.0,all_decisions,6,0.0,1.0,1.0,0.6309297535714575,0.6309297535714575,1.0,0.0
aiops21_007,aiops2021_service_and_anomaly_type,train,MG01,network_packet_loss,MG01,network_packet_loss,"[""MG01"", ""Tomcat04"", ""apache01"", ""IG02"", ""IG01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_008,aiops2021_service_and_anomaly_type,train,Tomcat04,network_latency,Tomcat04,network_latency,"[""Tomcat04"", ""Tomcat02"", ""Tomcat01"", ""apache01""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_009,aiops2021_service_and_anomaly_type,train,Tomcat03,network_latency,Tomcat03,network_latency,"[""Tomcat03"", ""MG02"", ""Tomcat01"", ""Tomcat04""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_010,aiops2021_service_and_anomaly_type,train,apache02,network_packet_loss,Tomcat02,network_packet_loss,"[""Tomcat02"", ""Tomcat03"", ""apache02""]",3.0,all_decisions,3,0.0,1.0,1.0,0.5,0.5,1.0,0.0
aiops21_011,aiops2021_service_and_anomaly_type,train,Tomcat01,network_latency,Tomcat01,network_latency,"[""Tomcat01"", ""apache01"", ""Tomcat03"", ""apache02"", ""Mysql01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_012,aiops2021_service_and_anomaly_type,train,MG01,network_latency,MG01,network_latency,"[""MG01"", ""Tomcat01"", ""IG01""]",1.0,all_decisions,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_013,aiops2021_service_and_anomaly_type,train,MG02,network_packet_loss,MG02,network_packet_loss,"[""MG02"", ""Tomcat01"", ""Tomcat02"", ""Mysql01"", ""apache01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_014,aiops2021_service_and_anomaly_type,train,Tomcat02,network_latency,Tomcat02,network_latency,"[""Tomcat02"", ""Tomcat04"", ""Tomcat03"", ""Mysql02"", ""apache02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_015,aiops2021_service_and_anomaly_type,train,MG01,network_latency,MG01,network_latency,"[""MG01"", ""MG02"", ""Tomcat02"", ""IG02"", ""Mysql02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_016,aiops2021_service_and_anomaly_type,train,Tomcat04,network_packet_loss,Tomcat04,network_latency,"[""Tomcat04"", ""Tomcat02"", ""Tomcat01"", ""Mysql02"", ""apache02"", ""Redis02"", ""IG02""]",1.0,all_decisions,7,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_017,aiops2021_service_and_anomaly_type,train,apache02,network_latency,apache02,disk_io,"[""apache02"", ""Tomcat03"", ""Tomcat02"", ""Tomcat04"", ""IG02"", ""Redis02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_018,aiops2021_service_and_anomaly_type,train,Tomcat01,network_packet_loss,Tomcat01,network_packet_loss,"[""Tomcat01"", ""Tomcat03"", ""Tomcat04"", ""apache02"", ""Tomcat02"", ""Mysql02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_019,aiops2021_service_and_anomaly_type,train,apache02,network_packet_loss,apache02,network_packet_loss,"[""apache02"", ""Tomcat01"", ""Tomcat04"", ""Tomcat02"", ""Tomcat03"", ""MG01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_020,aiops2021_service_and_anomaly_type,train,IG02,network_packet_loss,IG02,cpu,"[""IG02"", ""Tomcat01"", ""apache02"", ""Tomcat04"", ""Tomcat03"", ""IG01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_021,aiops2021_service_and_anomaly_type,train,Tomcat01,network_latency,Tomcat01,network_latency,"[""Tomcat01"", ""MG01"", ""Tomcat04"", ""apache02"", ""MG02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_022,aiops2021_service_and_anomaly_type,train,MG02,network_packet_loss,MG02,network_packet_loss,"[""MG02"", ""MG01"", ""Tomcat04"", ""Mysql02"", ""IG02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_023,aiops2021_service_and_anomaly_type,train,MG02,network_latency,MG02,network_latency,"[""MG02"", ""Redis02"", ""Tomcat01"", ""Tomcat04"", ""MG01"", ""IG02"", ""apache01""]",1.0,all_decisions,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_024,aiops2021_service_and_anomaly_type,train,Tomcat01,network_packet_loss,Redis02,network_packet_loss,"[""Redis02"", ""Tomcat01"", ""IG02"", ""Tomcat04"", ""Tomcat02"", ""Tomcat03""]",2.0,all_decisions,6,0.0,1.0,1.0,0.6309297535714575,0.6309297535714575,1.0,0.0
aiops21_025,aiops2021_service_and_anomaly_type,train,MG02,network_latency,MG02,network_latency,"[""MG02"", ""Tomcat01"", ""Tomcat03"", ""MG01""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_026,aiops2021_service_and_anomaly_type,train,Tomcat02,network_latency,Tomcat02,network_latency,"[""Tomcat02"", ""MG01"", ""MG02"", ""apache01"", ""apache02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_027,aiops2021_service_and_anomaly_type,train,apache01,network_packet_loss,apache01,disk_io,"[""apache01"", ""Tomcat04"", ""Mysql02"", ""apache02"", ""IG01"", ""Tomcat02""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_028,aiops2021_service_and_anomaly_type,train,apache01,network_latency,apache01,network_latency,"[""apache01"", ""Tomcat03"", ""apache02"", ""Tomcat04"", ""IG01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_029,aiops2021_service_and_anomaly_type,train,apache02,network_latency,apache02,network_latency,"[""apache02"", ""MG01"", ""Tomcat03"", ""MG02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_030,aiops2021_service_and_anomaly_type,train,Tomcat01,network_packet_loss,Tomcat01,network_packet_loss,"[""Tomcat01"", ""apache01"", ""Mysql02"", ""apache02"", ""Tomcat03"", ""Tomcat04""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_031,aiops2021_service_and_anomaly_type,train,apache02,network_packet_loss,apache02,network_packet_loss,"[""apache02"", ""apache01"", ""Redis01"", ""Tomcat04""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_032,aiops2021_service_and_anomaly_type,train,apache02,network_latency,apache02,network_latency,"[""apache02"", ""apache01"", ""Tomcat03"", ""MG01""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_033,aiops2021_service_and_anomaly_type,train,Tomcat01,network_latency,Tomcat01,network_latency,"[""Tomcat01"", ""Tomcat04"", ""MG01"", ""Tomcat02"", ""Mysql02""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_034,aiops2021_service_and_anomaly_type,train,Tomcat03,network_packet_loss,Tomcat03,disk_io,"[""Tomcat03"", ""apache01"", ""apache02"", ""Tomcat01""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_035,aiops2021_service_and_anomaly_type,train,MG01,network_packet_loss,MG01,network_packet_loss,"[""MG01"", ""MG02"", ""Mysql02"", ""Tomcat04"", ""Tomcat03""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_036,aiops2021_service_and_anomaly_type,train,Tomcat01,network_packet_loss,Tomcat01,network_latency,"[""Tomcat01"", ""Tomcat02"", ""apache01"", ""Tomcat04"", ""MG02"", ""Tomcat03"", ""IG01"", ""Mysql02""]",1.0,all_decisions,8,1.0,1.0,1.0,1.0,1.0,0.0,0.0
aiops21_037,aiops2021_service_and_anomaly_type,train,MG02,network_packet_loss,MG02,network_packet_loss,"[""MG02"", ""MG01"", ""IG02"", ""apache01"", ""IG01""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_038,aiops2021_service_and_anomaly_type,train,IG01,network_packet_loss,IG01,network_packet_loss,"[""IG01"", ""Tomcat01"", ""MG01"", ""apache02"", ""Tomcat02"", ""apache01""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_039,aiops2021_service_and_anomaly_type,train,MG01,network_packet_loss,MG01,network_packet_loss,"[""MG01"", ""MG02"", ""IG02"", ""Tomcat01"", ""Tomcat04""]",1.0,all_decisions,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_040,aiops2021_service_and_anomaly_type,train,apache02,network_packet_loss,apache02,network_packet_loss,"[""apache02"", ""IG01"", ""IG02"", ""Tomcat03""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_041,aiops2021_service_and_anomaly_type,train,Tomcat03,network_packet_loss,Tomcat03,network_packet_loss,"[""Tomcat03"", ""MG01"", ""apache01"", ""apache02""]",1.0,all_decisions,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aiops21_042,aiops2021_service_and_anomaly_type,train,apache02,network_packet_loss,apache02,network_packet_loss,"[""apache02"", ""apache01"", ""MG01"", ""MG02"", ""Tomcat04"", ""Tomcat03""]",1.0,all_decisions,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
