experiment,reason_group,n,official_strict,official_partial,official_time_hit,official_component_hit,official_reason_hit,reason_cond_strict,reason_cond_partial,reason_cond_time_hit,reason_cond_component_hit,reason_cond_reason_hit
metric,event_like,92,0.1196,0.1703,0.1111,0.1754,0.1964,0.1196,0.1757,0.1296,0.1754,0.1964
metric,io_like,16,0.4375,0.6562,0.1667,0.8462,1.0000,0.7500,0.9010,0.7500,0.8462,1.0000
metric,mixed,8,0.0000,0.3854,0.2857,0.5000,0.5000,0.0000,0.5312,0.5714,0.5000,0.5000
metric,progressive_like,20,0.0000,0.0250,0.0000,0.3333,0.0000,0.2500,0.3417,0.7692,0.3333,0.0000
metric_trace,event_like,92,0.1304,0.1812,0.1296,0.1754,0.1964,0.1304,0.1866,0.1481,0.1754,0.1964
metric_trace,io_like,16,0.4375,0.6562,0.1667,0.8462,1.0000,0.7500,0.9010,0.7500,0.8462,1.0000
metric_trace,mixed,8,0.0000,0.3854,0.2857,0.5000,0.5000,0.0000,0.5312,0.5714,0.5000,0.5000
metric_trace,progressive_like,20,0.0000,0.0250,0.0000,0.3333,0.0000,0.2500,0.3417,0.7692,0.3333,0.0000
metric_log_trace,event_like,92,0.1304,0.1812,0.1296,0.1754,0.1964,0.1304,0.1866,0.1481,0.1754,0.1964
metric_log_trace,io_like,16,0.4375,0.6562,0.1667,0.8462,1.0000,0.7500,0.9010,0.7500,0.8462,1.0000
metric_log_trace,mixed,8,0.0000,0.3854,0.2857,0.5000,0.5000,0.0000,0.5312,0.5714,0.5000,0.5000
metric_log_trace,progressive_like,20,0.0000,0.0250,0.0000,0.3333,0.0000,0.2500,0.3417,0.7692,0.3333,0.0000
